#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,Luka Dončić,LAL,26,36.4,33.7,10.3,22.3,46.0,3.3,10.5,32.0,9.8,12.1,80.6,0.8,7.3,8.1,8.7,1.5,0.6,4.5,33.7
2,Shai Gilgeous-Alexander,OKC,36,33.1,31.6,10.8,19.7,54.8,2.0,4.9,41.0,7.9,8.9,89.1,0.4,4.0,4.4,6.4,1.4,0.7,2.0,32.6
3,Tyrese Maxey,PHI,32,40.0,31.0,10.8,22.7,47.5,3.8,9.3,40.5,5.7,6.5,87.5,0.3,4.4,4.7,7.0,1.8,0.9,2.6,30.1
4,Donovan Mitchell,CLE,34,33.8,29.8,10.4,21.0,49.7,3.9,10.1,38.8,5.0,6.0,83.7,0.9,3.8,4.7,5.4,1.5,0.3,3.1,27.1
5,Nikola Jokić,DEN,32,34.6,29.6,10.6,17.5,60.5,2.1,4.8,43.5,6.3,7.4,85.3,3.0,9.1,12.2,11.0,1.4,0.8,3.5,43.3
6,Jaylen Brown,BOS,33,33.9,29.6,10.9,21.8,50.1,2.1,5.8,36.3,5.7,7.3,77.7,1.2,5.1,6.3,4.9,1.1,0.4,3.6,26.3
7,Anthony Edwards,MIN,29,34.9,29.4,10.0,19.8,50.6,3.3,8.3,40.0,6.1,7.6,80.0,0.7,4.3,5.0,3.7,1.4,0.8,2.8,26.2
8,Jalen Brunson,NYK,33,35.3,29.2,10.4,21.8,47.5,3.0,7.9,37.9,5.4,6.4,84.4,0.6,2.7,3.3,6.3,0.8,0.1,2.3,24.8
9,Stephen Curry,GSW,27,32.1,28.7,9.3,20.0,46.4,4.8,12.2,39.2,5.4,5.8,93.0,0.5,3.4,3.9,4.4,1.3,0.4,3.0,24.6
10,Kawhi Leonard,LAC,25,34.3,28.1,9.8,19.9,49.2,2.6,7.1,36.2,5.9,6.2,96.1,1.0,5.6,6.6,3.5,2.1,0.7,2.2,28.4
11,Lauri Markkanen,UTA,30,35.6,27.7,9.4,19.6,47.7,2.9,8.0,36.7,6.1,6.7,90.5,2.0,4.9,6.8,2.1,1.1,0.4,1.5,25.8
12,Cade Cunningham,DET,33,35.6,26.7,9.3,19.9,46.5,2.1,6.1,34.0,6.1,7.3,83.8,1.1,5.1,6.2,9.7,1.5,0.8,4.0,29.2
13,Deni Avdija,POR,37,35.2,25.9,7.9,16.8,46.8,2.4,6.5,36.4,7.8,9.8,79.3,1.1,6.2,7.3,7.1,0.8,0.6,3.8,26.9
14,Michael Porter Jr.,BKN,27,33.0,25.9,9.1,18.5,49.5,3.7,9.1,40.8,3.9,4.7,82.5,1.4,6.3,7.6,3.4,0.9,0.2,2.4,25.4
15,Devin Booker,PHX,33,34.1,25.7,8.5,18.3,46.3,1.6,5.5,29.8,7.2,8.4,85.6,0.8,3.2,4.1,6.3,0.9,0.4,3.4,22.9
16,Kevin Durant,HOU,31,36.1,25.7,9.0,17.3,52.0,2.1,5.2,40.4,5.6,6.3,89.7,0.3,4.8,5.1,4.6,0.7,1.0,3.1,25.1
17,James Harden,LAC,32,35.4,25.7,7.4,17.1,43.3,3.3,9.2,35.8,7.6,8.6,88.7,0.5,4.3,4.8,8.0,1.2,0.3,3.6,25.8
18,Jamal Murray,DEN,34,35.4,25.4,9.0,18.8,48.0,3.4,7.7,44.7,3.9,4.4,89.3,0.4,4.2,4.6,7.2,1.0,0.3,2.3,25.9
19,Norman Powell,MIA,31,31.0,24.4,8.1,16.5,48.8,3.1,7.4,42.1,5.2,6.0,86.6,0.4,3.4,3.8,2.7,1.3,0.2,1.9,21.3
20,Keyonte George,UTA,34,34.4,24.3,7.6,16.7,45.2,2.6,7.0,37.8,6.5,7.2,90.2,0.5,3.7,4.2,6.8,0.9,0.3,3.5,23.1
21,Pascal Siakam,IND,35,33.9,23.8,8.8,18.0,48.7,1.7,4.7,37.2,4.5,6.6,68.0,1.7,5.0,6.7,3.8,1.3,0.4,2.0,22.6
22,Jalen Johnson,ATL,34,35.5,23.7,8.7,16.8,52.1,1.6,4.4,36.7,4.6,5.7,80.4,1.5,8.9,10.4,8.4,1.4,0.5,3.6,31.6
23,Julius Randle,MIN,36,33.6,22.3,7.7,15.6,49.0,1.6,4.8,33.3,5.4,6.6,81.5,1.7,5.3,6.9,5.7,1.1,0.1,2.5,24.6
24,Brandon Ingram,TOR,37,34.3,22.2,8.3,17.5,47.6,1.8,5.1,35.3,3.8,4.6,81.9,0.8,5.3,6.1,3.7,0.8,0.7,2.9,20.6
25,Alperen Sengun,HOU,28,34.3,21.8,8.3,16.3,51.2,0.7,2.3,31.7,4.4,6.0,73.4,2.9,6.0,9.0,6.5,1.5,1.0,3.3,26.9
26,De'Aaron Fox,SAS,26,32.4,21.7,7.8,16.3,48.1,2.2,6.1,36.5,3.8,4.8,79.8,0.8,3.0,3.8,5.8,1.4,0.3,2.5,21.2
27,Shaedon Sharpe,POR,33,29.4,21.6,8.1,18.0,45.0,2.0,5.9,33.2,3.4,4.4,78.5,1.2,3.2,4.4,2.5,1.5,0.2,3.0,16.3
28,Karl-Anthony Towns,NYK,33,32.5,21.5,6.8,14.5,47.1,1.7,4.8,35.6,6.1,6.9,87.7,2.9,8.5,11.5,2.8,0.8,0.6,2.5,26.2
29,Dillon Brooks,PHX,30,31.0,21.2,7.9,17.1,46.1,2.3,6.9,33.8,3.1,3.7,83.8,0.7,2.5,3.1,1.7,1.2,0.1,2.0,15.4
30,Paolo Banchero,ORL,26,33.4,21.0,7.0,15.6,45.2,1.0,3.7,26.3,6.0,8.0,74.5,0.9,7.7,8.6,4.7,0.7,0.8,2.5,22.6
31,Trey Murphy III,NOP,34,35.5,20.7,7.3,14.8,49.3,2.8,7.4,38.4,3.3,3.6,91.0,1.2,4.9,6.1,3.5,1.6,0.2,1.9,22.4
32,Nickeil Alexander-Walker,ATL,36,32.9,20.5,7.1,15.8,44.7,3.0,7.8,38.3,3.4,4.0,85.4,0.6,2.8,3.4,3.3,1.0,0.6,2.2,17.3
33,Miles Bridges,CHA,35,33.7,20.1,7.1,16.1,43.9,2.3,7.2,32.3,3.6,4.3,84.7,0.9,5.7,6.5,3.7,0.6,0.6,1.5,20.3
34,Jerami Grant,POR,26,30.3,20.0,6.0,13.8,43.6,2.5,6.4,38.9,5.5,6.3,86.6,1.2,2.9,4.0,2.7,0.7,0.6,2.2,17.2
35,LaMelo Ball,CHA,26,28.1,19.7,6.8,16.5,41.1,3.3,8.8,37.1,2.9,3.3,87.2,0.9,4.1,5.0,7.9,1.2,0.2,3.5,20.5
36,Jimmy Butler III,GSW,32,31.7,19.7,6.0,11.8,51.1,0.8,2.1,40.3,6.8,7.9,85.7,2.2,3.3,5.5,4.9,1.5,0.3,1.6,23.3
37,Kon Knueppel,CHA,35,33.0,19.5,6.7,13.9,48.3,3.6,8.3,43.5,2.5,2.8,87.9,0.9,4.1,5.1,3.5,0.7,0.2,2.5,19.0
38,Desmond Bane,ORL,36,33.9,19.3,7.0,15.5,45.2,1.8,5.1,35.0,3.5,3.8,93.3,1.3,3.4,4.6,4.6,0.8,0.6,2.1,19.0
39,Josh Giddey,CHI,30,32.8,19.2,6.7,14.3,46.6,1.9,4.8,38.6,4.0,5.3,76.1,1.2,7.8,8.9,9.0,0.9,0.4,3.6,26.0
40,Scottie Barnes,TOR,37,34.1,19.1,7.5,14.8,50.6,1.2,3.3,35.2,2.9,3.5,83.7,2.3,6.3,8.6,5.4,1.4,1.5,2.6,25.4
41,Cooper Flagg,DAL,35,34.6,18.9,7.2,15.1,47.6,0.9,3.4,27.1,3.6,4.4,81.3,1.1,5.3,6.4,4.1,1.2,0.8,2.2,20.5
42,CJ McCollum,WAS,34,30.7,18.6,6.7,15.0,44.9,2.7,7.0,39.2,2.4,2.9,80.0,0.6,2.9,3.5,3.6,0.7,0.3,1.6,16.1
43,Jaren Jackson Jr.,MEM,33,30.2,18.4,6.8,14.2,48.1,1.6,4.6,35.8,3.1,4.2,74.5,0.8,4.7,5.5,2.0,0.9,1.4,2.1,17.6
44,Derrick White,BOS,34,33.9,18.4,6.3,15.8,39.7,3.2,9.4,34.0,2.7,3.1,87.5,0.8,3.6,4.4,5.3,1.4,1.5,1.9,19.2
45,DeMar DeRozan,SAC,36,33.0,18.3,6.5,13.1,50.0,0.8,2.2,34.6,4.5,5.1,88.0,0.5,2.9,3.4,3.8,1.4,0.3,1.1,18.9
46,Chet Holmgren,OKC,32,28.6,18.1,6.8,11.9,57.4,1.4,3.7,38.7,3.0,3.8,78.7,1.6,6.6,8.2,1.6,0.6,1.8,1.9,22.4
47,Amen Thompson,HOU,33,36.7,18.0,7.1,13.8,51.3,0.4,2.0,19.7,3.4,4.2,81.3,2.8,4.6,7.4,5.2,1.3,0.5,2.5,22.5
48,Jalen Duren,DET,31,28.4,17.9,7.0,11.0,63.3,0.0,0.0,0.0,4.0,5.5,72.4,4.1,6.5,10.6,1.7,0.9,0.9,2.3,24.3
49,Stephon Castle,SAS,26,30.9,17.9,6.1,12.7,48.3,1.0,3.9,26.5,4.6,6.3,73.2,1.2,3.9,5.0,7.1,1.3,0.3,3.7,19.7
50,Evan Mobley,CLE,31,33.0,17.7,6.6,13.3,50.0,1.3,3.8,33.6,3.2,5.0,63.6,2.5,6.4,8.9,4.0,0.9,1.8,2.1,22.8
